Βιολογικό χωριό,"Αιώλου 14, Αθήνα"
4 seasons bio,"Νίκης 30, Αθήνα"
Bioshop,"Βεϊκου 30, γαλάτσι "
Bioway,"ομόνοιας 57, Αθήνα"
biopolis,"καυκάσου 142-144, Αθήνα"
ΤΟ ΠΕΡΙΒΟΛΙ ΤΗΣ ΟΙΚΟΛΟΓΙΑΣ, "Ανδρέα Μεταξά 13-15,  Αθήνα"
ΛΩΤΟΣ , "Λ. Μαραθώνος 49,Άνοιξη"
ΦΙΛΟΙΚΟ,"Αρχιπελάγους 4"
Ήταν καιρός…, Λ. Θρακομακεδόνων 47
ΑΓΝΗ ΓΗ,Λεωφόρος. Πεντέλης 104
ΑΙΘΕΡΙΟ,  Μαραθώνος 176
ΒΙΟΜΑΡΚΕΤ ΚΑΜΠΟΣ Α.Ε.,Αρτέμιδος 9
ΦΙΛΟΙΚΟ,Μ. Αντύπα 84
ΒΙΩΡΑΜΑ,Ελ. Βενιζέλου 4
PASSIFLORA,Βεϊκου 53
ΒΙΟΠΟΛΙΣ,Αγ. Σοφίας 5
BIOCENTER, Τσαμαδού 71
ΓΩΝΙΑ,Πίνδου 11
ΔΗΜΗΤΡΑ, Κεφαλληνίας 73
